"UberEats_startTime,UberEats_endTime,UberEats_restaurant_info/b_name,UberEats_restaurant_info/vb_name,GrubHub_startTime,GrubHub_endTime,GrubHub_restaurant_info/b_name,GrubHub_restaurant_info/vb_name,is_out_of_range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
",,Mario The Baker,Nico's Italian Ristorante,10:30:00.000,00:00:00.000,Mario The Baker,Nico's Italian Ristorante,Out of Range with 5 mins difference"
",,Mario The Baker,Nico's Italian Ristorante,10:30:00.000,00:00:00.000,Mario The Baker,Nico's Italian Ristorante,Out of Range with 5 mins difference"
",,Mario The Baker,Nico's Italian Ristorante,10:30:00.000,00:00:00.000,Mario The Baker,Nico's Italian Ristorante,Out of Range with 5 mins difference"
",,Mario The Baker,Nico's Italian Ristorante,10:30:00.000,00:00:00.000,Mario The Baker,Nico's Italian Ristorante,Out of Range with 5 mins difference"
",,Gaters,Arifs Mediterranean Grill,10:00:00.000,21:00:00.000,Gaters,Arifs Mediterranean Grill,Out of Range with 5 mins difference"
",,Gaters,Arifs Mediterranean Grill,11:00:00.000,21:00:00.000,Gaters,Arifs Mediterranean Grill,Out of Range with 5 mins difference"
",,Gaters,Arifs Mediterranean Grill,10:00:00.000,21:00:00.000,Gaters,Arifs Mediterranean Grill,Out of Range with 5 mins difference"
",,Gaters,Arifs Mediterranean Grill,10:00:00.000,21:00:00.000,Gaters,Arifs Mediterranean Grill,Out of Range with 5 mins difference"
",,Gaters,The French Fries God,10:00:00.000,21:00:00.000,Gaters,The French Fries God,Out of Range with 5 mins difference"
",,Gaters,The French Fries God,10:00:00.000,21:00:00.000,Gaters,The French Fries God,Out of Range with 5 mins difference"
",,Gaters,The French Fries God,10:00:00.000,21:00:00.000,Gaters,The French Fries God,Out of Range with 5 mins difference"
",,Gaters,The French Fries God,11:00:00.000,21:00:00.000,Gaters,The French Fries God,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,11:00:00.000,15:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Bombay Seafood Grill,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,11:00:00.000,23:59:00.000,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,11:00:00.000,15:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,11:00:00.000,23:59:00.000,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,11:00:00.000,23:59:00.000,Canteen Desi Dhaba - Jersey City [07306],Indian Chicken Co.,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,11:00:00.000,15:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Noodle And Rice Bar,Out of Range with 5 mins difference"
",,Desi Deli,Kamal's Vegetarian Indian,09:30:00.000,18:59:54.560,Desi Deli,Kamal's Vegetarian Indian,Out of Range with 5 mins difference"
",,Desi Deli,Kamal's Vegetarian Indian,06:00:00.000,00:00:00.000,Desi Deli,Kamal's Vegetarian Indian,Out of Range with 5 mins difference"
",,Desi Deli,Kamal's Vegetarian Indian,06:00:00.000,00:00:00.000,Desi Deli,Kamal's Vegetarian Indian,Out of Range with 5 mins difference"
",,Desi Deli,Kamal's Vegetarian Indian,06:00:00.000,00:00:00.000,Desi Deli,Kamal's Vegetarian Indian,Out of Range with 5 mins difference"
",,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,Out of Range with 5 mins difference"
",,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,Out of Range with 5 mins difference"
",,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,Out of Range with 5 mins difference"
",,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Breakfast Burrito Snob,Out of Range with 5 mins difference"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
",,Sal's Place Deli Grocery,The Pancake Snob,00:00:00.000,00:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,00:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
